,Month,Series_ID,Title,Employed,Moving avg,Diff
50211,2004 Dec,CEU4200000001,Retail Trade,15707.1,15081.02727,-626.0727273
50212,2005 Jan,CEU4200000001,Retail Trade,15051.1,15113.50909,62.40909091
50213,2005 Feb,CEU4200000001,Retail Trade,14911.9,15125.9,214
50214,2005 Mar,CEU4200000001,Retail Trade,14955.6,15134.33636,178.7363636
50215,2005 Apr,CEU4200000001,Retail Trade,15068.9,15141.78182,72.88181818
50216,2005 May,CEU4200000001,Retail Trade,15194.5,15152.00909,-42.49090909
50217,2005 Jun,CEU4200000001,Retail Trade,15300.1,15174.62727,-125.4727273
50218,2005 Jul,CEU4200000001,Retail Trade,15327.6,15199.42727,-128.1727273
50219,2005 Aug,CEU4200000001,Retail Trade,15348.8,15231.48182,-117.3181818
50220,2005 Sep,CEU4200000001,Retail Trade,15226.4,15238.01818,11.61818182
50221,2005 Oct,CEU4200000001,Retail Trade,15348.9,15221.9,-127
50222,2005 Nov,CEU4200000001,Retail Trade,15741.9,15225.06364,-516.8363636
50223,2005 Dec,CEU4200000001,Retail Trade,15938.4,15305.72727,-632.6727273
50224,2006 Jan,CEU4200000001,Retail Trade,15245.6,15336.06364,90.46363636
50225,2006 Feb,CEU4200000001,Retail Trade,15067.2,15346.20909,279.0090909
50226,2006 Mar,CEU4200000001,Retail Trade,15150.1,15353.59091,203.4909091
50227,2006 Apr,CEU4200000001,Retail Trade,15171.3,15351.48182,180.1818182
50228,2006 May,CEU4200000001,Retail Trade,15253.8,15347.27273,93.47272727
50229,2006 Jun,CEU4200000001,Retail Trade,15332.6,15347.72727,15.12727273
50230,2006 Jul,CEU4200000001,Retail Trade,15326.4,15345.69091,19.29090909
50231,2006 Aug,CEU4200000001,Retail Trade,15337.2,15355.76364,18.56363636
50232,2006 Sep,CEU4200000001,Retail Trade,15235.3,15345.43636,110.1363636
50233,2006 Oct,CEU4200000001,Retail Trade,15386,15313.08182,-72.91818182
50234,2006 Nov,CEU4200000001,Retail Trade,15813.5,15301.72727,-511.7727273
50235,2006 Dec,CEU4200000001,Retail Trade,15982.4,15368.70909,-613.6909091
50236,2007 Jan,CEU4200000001,Retail Trade,15342.5,15393.73636,51.23636364
50237,2007 Feb,CEU4200000001,Retail Trade,15182,15396.63636,214.6363636
50238,2007 Mar,CEU4200000001,Retail Trade,15301,15408.42727,107.4272727
50239,2007 Apr,CEU4200000001,Retail Trade,15327.3,15415.10909,87.80909091
50240,2007 May,CEU4200000001,Retail Trade,15462.9,15426.95455,-35.94545455
50241,2007 Jun,CEU4200000001,Retail Trade,15511.5,15443.78182,-67.71818182
50242,2007 Jul,CEU4200000001,Retail Trade,15514.4,15459.89091,-54.50909091
50243,2007 Aug,CEU4200000001,Retail Trade,15538.3,15487.43636,-50.86363636
50244,2007 Sep,CEU4200000001,Retail Trade,15440.9,15492.42727,51.52727273
50245,2007 Oct,CEU4200000001,Retail Trade,15529,15466.56364,-62.43636364
50246,2007 Nov,CEU4200000001,Retail Trade,15994.6,15467.67273,-526.9272727
50247,2007 Dec,CEU4200000001,Retail Trade,16162,15542.17273,-619.8272727
50248,2008 Jan,CEU4200000001,Retail Trade,15464.1,15567.81818,103.7181818
50249,2008 Feb,CEU4200000001,Retail Trade,15231.2,15561.47273,330.2727273
50250,2008 Mar,CEU4200000001,Retail Trade,15284.9,15557.61818,272.7181818
50251,2008 Apr,CEU4200000001,Retail Trade,15247.6,15538.04545,290.4454545
50252,2008 May,CEU4200000001,Retail Trade,15302,15519,217
50253,2008 Jun,CEU4200000001,Retail Trade,15342.8,15503.4,160.6
50254,2008 Jul,CEU4200000001,Retail Trade,15308.5,15482.50909,174.0090909
50255,2008 Aug,CEU4200000001,Retail Trade,15270.9,15467.05455,196.1545455
50256,2008 Sep,CEU4200000001,Retail Trade,15099.4,15428,328.6
50257,2008 Oct,CEU4200000001,Retail Trade,15138.1,15350.13636,212.0363636
50258,2008 Nov,CEU4200000001,Retail Trade,15351.7,15276.47273,-75.22727273
50259,2008 Dec,CEU4200000001,Retail Trade,15424.4,15272.86364,-151.5363636
50260,2009 Jan,CEU4200000001,Retail Trade,14688.6,15223.53636,534.9363636
50261,2009 Feb,CEU4200000001,Retail Trade,14439,15146.63636,707.6363636
50262,2009 Mar,CEU4200000001,Retail Trade,14410.6,15070.54545,659.9454545
50263,2009 Apr,CEU4200000001,Retail Trade,14399.6,14988.50909,588.9090909
50264,2009 May,CEU4200000001,Retail Trade,14495.4,14911.47273,416.0727273
50265,2009 Jun,CEU4200000001,Retail Trade,14543.5,14841.92727,298.4272727
50266,2009 Jul,CEU4200000001,Retail Trade,14489.3,14770.87273,281.5727273
50267,2009 Aug,CEU4200000001,Retail Trade,14495.3,14715.95455,220.6545455
50268,2009 Sep,CEU4200000001,Retail Trade,14367.5,14645.9,278.4
50269,2009 Oct,CEU4200000001,Retail Trade,14413,14560.56364,147.5636364
50270,2009 Nov,CEU4200000001,Retail Trade,14729.7,14497.40909,-232.2909091
50271,2009 Dec,CEU4200000001,Retail Trade,14863.7,14513.32727,-350.3727273
50272,2010 Jan,CEU4200000001,Retail Trade,14290.5,14499.82727,209.3272727
50273,2010 Feb,CEU4200000001,Retail Trade,14123,14473.68182,350.6818182
50274,2010 Mar,CEU4200000001,Retail Trade,14209.3,14456.38182,247.0818182
50275,2010 Apr,CEU4200000001,Retail Trade,14269.1,14435.80909,166.7090909
50276,2010 May,CEU4200000001,Retail Trade,14380.1,14420.95455,40.85454545
50277,2010 Jun,CEU4200000001,Retail Trade,14441.8,14416.63636,-25.16363636
50278,2010 Jul,CEU4200000001,Retail Trade,14445.1,14412.07273,-33.02727273
50279,2010 Aug,CEU4200000001,Retail Trade,14463.7,14420.81818,-42.88181818
50280,2010 Sep,CEU4200000001,Retail Trade,14361,14416.09091,55.09090909
50281,2010 Oct,CEU4200000001,Retail Trade,14510.5,14396.16364,-114.3363636
50282,2010 Nov,CEU4200000001,Retail Trade,14849.9,14394.90909,-454.9909091
50283,2010 Dec,CEU4200000001,Retail Trade,15008.4,14460.17273,-548.2272727
50284,2011 Jan,CEU4200000001,Retail Trade,14448.6,14489.77273,41.17272727
50285,2011 Feb,CEU4200000001,Retail Trade,14282.5,14496.42727,213.9272727
50286,2011 Mar,CEU4200000001,Retail Trade,14349.3,14503.71818,154.4181818
50287,2011 Apr,CEU4200000001,Retail Trade,14489,14513.61818,24.61818182
50288,2011 May,CEU4200000001,Retail Trade,14588.7,14526.97273,-61.72727273
50289,2011 Jun,CEU4200000001,Retail Trade,14682.3,14548.53636,-133.7636364
50290,2011 Jul,CEU4200000001,Retail Trade,14718,14571.65455,-146.3454545
50291,2011 Aug,CEU4200000001,Retail Trade,14717.5,14604.06364,-113.4363636
50292,2011 Sep,CEU4200000001,Retail Trade,14617.2,14613.76364,-3.436363636
50293,2011 Oct,CEU4200000001,Retail Trade,14751.7,14604.83636,-146.8636364
50294,2011 Nov,CEU4200000001,Retail Trade,15142.3,14617.00909,-525.2909091
50295,2011 Dec,CEU4200000001,Retail Trade,15296.7,14694.10909,-602.5909091
50296,2012 Jan,CEU4200000001,Retail Trade,14734.5,14735.2,0.7
50297,2012 Feb,CEU4200000001,Retail Trade,14520.3,14750.74545,230.4454545
50298,2012 Mar,CEU4200000001,Retail Trade,14580.3,14759.04545,178.7454545
50299,2012 Apr,CEU4200000001,Retail Trade,14670.4,14766.47273,96.07272727
50300,2012 May,CEU4200000001,Retail Trade,14775.5,14774.94545,-0.554545455
50301,2012 Jun,CEU4200000001,Retail Trade,14815.9,14783.84545,-32.05454545
50302,2012 Jul,CEU4200000001,Retail Trade,14807.7,14792.04545,-15.65454545
50303,2012 Aug,CEU4200000001,Retail Trade,14815.2,14810.04545,-5.154545455
50304,2012 Sep,CEU4200000001,Retail Trade,14738.9,14808.88182,69.98181818
50305,2012 Oct,CEU4200000001,Retail Trade,14877.7,14784.82727,-92.87272727
50306,2012 Nov,CEU4200000001,Retail Trade,15363,14790.85455,-572.1454545
50307,2012 Dec,CEU4200000001,Retail Trade,15462.5,14857.03636,-605.4636364
50308,2013 Jan,CEU4200000001,Retail Trade,14858.2,14887.75455,29.55454545
50309,2013 Feb,CEU4200000001,Retail Trade,14672.3,14896.11818,223.8181818
50310,2013 Mar,CEU4200000001,Retail Trade,14711.7,14899.87273,188.1727273
50311,2013 Apr,CEU4200000001,Retail Trade,14808.6,14902.88182,94.28181818
50312,2013 May,CEU4200000001,Retail Trade,14932.3,14913.46364,-18.83636364
50313,2013 Jun,CEU4200000001,Retail Trade,15045.2,14935.05455,-110.1454545
50314,2013 Jul,CEU4200000001,Retail Trade,15097.3,14960.7,-136.6
50315,2013 Aug,CEU4200000001,Retail Trade,15131.7,14996.40909,-135.2909091
50316,2013 Sep,CEU4200000001,Retail Trade,15052.6,15012.30909,-40.29090909
50317,2013 Oct,CEU4200000001,Retail Trade,15212.3,14998.60909,-213.6909091
50318,2013 Nov,CEU4200000001,Retail Trade,15655.3,15016.13636,-639.1636364
50319,2013 Dec,CEU4200000001,Retail Trade,15839.4,15105.33636,-734.0636364
50320,2014 Jan,CEU4200000001,Retail Trade,15170.7,15150.64545,-20.05454545
50321,2014 Feb,CEU4200000001,Retail Trade,14951.8,15172.47273,220.6727273
50322,2014 Mar,CEU4200000001,Retail Trade,15015.4,15191.27273,175.8727273
50323,2014 Apr,CEU4200000001,Retail Trade,15137,15209.88182,72.88181818
50324,2014 May,CEU4200000001,Retail Trade,15238.9,15227.49091,-11.40909091
50325,2014 Jun,CEU4200000001,Retail Trade,15354.6,15250.88182,-103.7181818
50326,2014 Jul,CEU4200000001,Retail Trade,15389.2,15274.29091,-114.9090909
50327,2014 Aug,CEU4200000001,Retail Trade,15380.4,15304.09091,-76.30909091
50328,2014 Sep,CEU4200000001,Retail Trade,15298.8,15311.95455,13.15454545
50329,2014 Oct,CEU4200000001,Retail Trade,15481.6,15296.16364,-185.4363636
50330,2014 Nov,CEU4200000001,Retail Trade,15894.3,15301.15455,-593.1454545
50331,2014 Dec,CEU4200000001,Retail Trade,16048.1,15380.91818,-667.1818182
50332,2015 Jan,CEU4200000001,Retail Trade,15421.1,15423.58182,2.481818182
50333,2015 Feb,CEU4200000001,Retail Trade,15244.9,15444.44545,199.5454545
50334,2015 Mar,CEU4200000001,Retail Trade,15311.7,15460.32727,148.6272727
50335,2015 Apr,CEU4200000001,Retail Trade,15401.8,15475.13636,73.33636364
50336,2015 May,CEU4200000001,Retail Trade,15530.3,15491.10909,-39.19090909
50337,2015 Jun,CEU4200000001,Retail Trade,15620.5,15512.13636,-108.3636364
50338,2015 Jul,CEU4200000001,Retail Trade,15647,15536.37273,-110.6272727
50339,2015 Aug,CEU4200000001,Retail Trade,15626.3,15566.14545,-60.15454545
50340,2015 Sep,CEU4200000001,Retail Trade,15513.4,15569.03636,55.63636364
50341,2015 Oct,CEU4200000001,Retail Trade,15696.8,15551.08182,-145.7181818
50342,2015 Nov,CEU4200000001,Retail Trade,16095.8,15555.41818,-540.3818182
50343,2015 Dec,CEU4200000001,Retail Trade,16221.5,15628.18182,-593.3181818
50344,2016 Jan,CEU4200000001,Retail Trade,15625.7,15662.8,37.1
50345,2016 Feb,CEU4200000001,Retail Trade,15486.6,15678.7,192.1
50346,2016 Mar,CEU4200000001,Retail Trade,15576.8,15694.60909,117.8090909
50347,2016 Apr,CEU4200000001,Retail Trade,15648.7,15705.37273,56.67272727
50348,2016 May,CEU4200000001,Retail Trade,15745.7,15716.75455,-28.94545455
50349,2016 Jun,CEU4200000001,Retail Trade,15851.8,15735.37273,-116.4272727
50350,2016 Jul,CEU4200000001,Retail Trade,15874.4,15757.92727,-116.4727273
50351,2016 Aug,CEU4200000001,Retail Trade,15864.6,15789.85455,-74.74545455
50352,2016 Sep,CEU4200000001,Retail Trade,15750.3,15794.71818,44.41818182
50353,2016 Oct,CEU4200000001,Retail Trade,15899.5,15776.87273,-122.6272727
50354,2016 Nov,CEU4200000001,Retail Trade,16260.2,15780.39091,-479.8090909
50355,2016 Dec,CEU4200000001,Retail Trade,16394.3,15850.26364,-544.0363636
50356,2017 Jan,CEU4200000001,Retail Trade,15854.4,15883.7,29.3
50357,2017 Feb,CEU4200000001,Retail Trade,15627.9,15888.34545,260.4454545
50358,2017 Mar,CEU4200000001,Retail Trade,15635,15887.1,252.1
50359,2017 Apr,CEU4200000001,Retail Trade,15686.6,15881.72727,195.1272727
50360,2017 May,CEU4200000001,Retail Trade,15759.5,15873.33636,113.8363636
50361,2017 Jun,CEU4200000001,Retail Trade,15843,15870.48182,27.48181818
50362,2017 Jul,CEU4200000001,Retail Trade,15841.1,15868.34545,27.24545455
50363,2017 Aug,CEU4200000001,Retail Trade,15810.2,15873.79091,63.59090909
50364,2017 Sep,CEU4200000001,Retail Trade,15679.3,15853.77273,174.4727273
50365,2017 Oct,CEU4200000001,Retail Trade,15819.9,15813.74545,-6.154545455
50366,2017 Nov,CEU4200000001,Retail Trade,16285.8,15803.88182,-481.9181818
50367,2017 Dec,CEU4200000001,Retail Trade,16305.9,15844.92727,-460.9727273
50368,2018 Jan,CEU4200000001,Retail Trade,15718.6,15853.17273,134.5727273
50369,2018 Feb,CEU4200000001,Retail Trade,15577,15847.9,270.9
50370,2018 Mar,CEU4200000001,Retail Trade,15610.8,15841.00909,230.2090909
50371,2018 Apr,CEU4200000001,Retail Trade,15681.4,15833.90909,152.5090909
50372,2018 May,CEU4200000001,Retail Trade,15797.2,15829.74545,32.54545455
50373,2018 Jun,CEU4200000001,Retail Trade,15844.9,15830.09091,-14.80909091
50374,2018 Jul,CEU4200000001,Retail Trade,15854.5,15834.11818,-20.38181818
50375,2018 Aug,CEU4200000001,Retail Trade,15834.9,15848.26364,13.36363636
50376,2018 Sep,CEU4200000001,Retail Trade,15680.6,15835.6,155
50377,2018 Oct,CEU4200000001,Retail Trade,15796.5,15791.11818,-5.381818182
50378,2018 Nov,CEU4200000001,Retail Trade,16291.3,15789.79091,-501.5090909
50379,2018 Dec,CEU4200000001,Retail Trade,16309.2,15843.48182,-465.7181818
50380,2019 Jan,CEU4200000001,Retail Trade,15753.5,15859.52727,106.0272727
50381,2019 Feb,CEU4200000001,Retail Trade,15567.4,15855.58182,288.1818182
50382,2019 Mar,CEU4200000001,Retail Trade,15576.6,15846.05455,269.4545455
50383,2019 Apr,CEU4200000001,Retail Trade,15624.9,15830.39091,205.4909091
50384,2019 May,CEU4200000001,Retail Trade,15691.6,15816.45455,124.8545455
50385,2019 Jun,CEU4200000001,Retail Trade,15775.5,15809.27273,33.77272727
50386,2019 Jul,CEU4200000001,Retail Trade,15785.9,15804.81818,18.91818182
50387,2019 Aug,CEU4200000001,Retail Trade,15749.5,15811.08182,61.58181818
50388,2019 Sep,CEU4200000001,Retail Trade,15611.3,15794.24545,182.9454545
